id,url,item_name,match_id,ingredients,reef_safe_determination,brand
3,https://www.sunbum.com//products/kids-spf-50-clear-sunscreen-spray,"Kids SPF 50 Clear Sunscreen Spray– Sun Bum",92,"Active Ingredients: Homosalate 10%, Octocrylene 10%, Octisalate 5%, Avobenzone 3%Inactive Ingredients: alcohol denat. (58.9%), butyloctyl salicylate, C12-15 alkyl benzoate, trimethylpentanediol/adipic acid/glycerin crosspolymer, fragrance, tocopherol",1,"Sun Bum"
5,https://www.sunbum.com//products/day-tripper,"Day Tripper, Travel Sun Care Set | Sun Bum",105,"Apply SPF products liberally 15 minutes before sun exposure. Reapply after 80 minutes of swimming or sweating, immediately after towel drying, at least every 2 hours.",NULL,"Sun Bum"
6,https://www.sunbum.com//products/original-spf-15-sunscreen-spray-6oz,"Sunscreen Spray SPF 15, Original | Sun Bum",101,"Active Ingredients: Avobenzone 3%, Homosalate 6%, Octisalate 5%, Octocrylene 2%Inactive Ingredients: alcohol denat., C12-15 alkyl benzoate, acrylates/octylacrylamide copolymer, PPG-5-ceteth-20, fragrance, tocopherol",1,"Sun Bum"
7,https://www.sunbum.com//products/original-spf-15-sunscreen-lotion,"Sunscreen Lotion SPF 15, Original | Sun Bum",104,"Active Ingredients: Avobenzone 2%, Homosalate 5%, Octisalate 2%, Octocrylene 10%Inactive Ingredients: water, butyloctyl salicylate, hydrated silica, styrene/acrylates copolymer, dimethicone, VP/hexadecene copolymer, polyester-8, caprylyl methicone, ethylhexyl stearate, trideceth-6, glyceryl stearate, PEG-100 stearate, fragrance, sodium polyacrylate, behenyl alcohol, dimethyl capramide, ethylhexylglycerin, trimethylsiloxysilicate, xanthan gum, polyaminopropyl biguanide, tocopheryl acetate, BHT, disodium EDTA, methyisothiazolinone",1,"Sun Bum"
8,https://www.sunbum.com//products/original-spf-30-sunscreen-lotion,"Sunscreen Lotion SPF 30, Original | Sun Bum",103,"Active Ingredients: Avobenzone 3%, Homosalate 5%, Octisalate 3%, Octocrylene 10%Inactive Ingredients: water, butyloctyl salicylate, hydrated silica, VP/hexadecene copolymer, styrene/acrylates copolymer, dimethicone, polyester-8, caprylyl methicone, ethylhexyl stearate, trideceth-6, glyceryl stearate, PEG-100 stearate, fragrance, sodium polyacrylate, behenyl alcohol, dimethyl capramide, ethylhexylglycerin, trimethylsiloxysilicate, xanthan gum, polyaminopropyl biguanide, tocopheryl acetate, BHT, disodium EDTA, methyisothiazolinone",1,"Sun Bum"
9,https://www.sunbum.com//products/original-spf-30-sunscreen-spray-6oz,"Sunscreen Spray SPF 30, Original | Sun Bum",93,"Active Ingredients: Avobenzone 3.0%, Homosalate 10%, Octisalate 5%, Octocrylene 3.75%Inactive Ingredients: alcohol denat. (67%), acrylates/octylacrylamide copolymer, C12-15 alkyl benzoate, dicaprylyl carbonate, PPG-5-ceteth-20, fragrance, tocopherol",1,"Sun Bum"
10,https://www.sunbum.com//products/original-spf-50-sunscreen-lotion,"Sunscreen Lotion SPF 50, Original Formula | Sun Bum",102,"Active Ingredients: Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 10%Inactive Ingredients: water, butyloctyl salicylate, hydrated silica, VP/hexadecene copolymer, styrene/acrylates copolymer, dimethicone, polyester-8, caprylyl methicone, ethyhexyl stearate, trideceth-6, glyceryl strearate, PEG-100 stearate, fragrance, sodium polyacrylate, behenyl alcohol, dimethyl capramide, ethylhexylglycerin, trimethylsiloxysilicate, xanthan gum, polyaminopropyl biguanide, tocopheryl acetate, BHT, disodium EDTA, methylisothiazolinone",1,"Sun Bum"
11,https://www.sunbum.com//products/original-spf-50-sunscreen-spray-6oz,"Sunscreen Spray SPF 50, Original | Sun Bum",97,"Active Ingredients: Avobenzone 3%, Homosalate 15%, Octisalate 5%, Octocrylene 7%Inactive Ingredients: alcohol denat. (54%), C12-15 alkyl benzoate, acrylates/octylacrylamide copolymer, dicaprylyl carbonate, PPG-5-ceteth-20, fragrance, tocopherol",1,"Sun Bum"
13,https://www.sunbum.com//products/original-spf-50-sunscreen-roll-on-lotion,"Original SPF 50 Sunscreen Roll-On Lotion– Sun Bum",89,"Active Ingredients: Octocrylene 10%, Homosalate 10%, Ethylhexyl Salicylate 5%, Avobenzone 3%Inactive Ingredients: water, hydrated silica, glycerin, polyglyceryl-6 stearate, styrene/acrylates copolymer, acrylates/c12-22 alkyl methacrylate copolymer, polyester-8, tocopheryl acetate, lysolecithin, sclerotium gum, tetrasodium glutamate diacetate, pullulan, xanthan gum, polyglyceryl-6 behenate, citric acid, phenoxyethanol, ethylhexylglycerin, fragrance",1,"Sun Bum"
15,https://www.sunbum.com//products/original-glow-spf-30-sunscreen-lotion,"Glow SPF 30 Sunscreen Face Lotion Original | Sun Bum",96,"Active Ingredients: Octocrylene 10.0%, Octisalate 5.0%, Avobenzone 3.0%Inactive Ingredients: water, bismuth oxychloride, propanediol, butyloctyl salicylate, glycerin, mica, c12-15 alkyl benzoate, polyglyceryl-6 stearate, isododecane, terminalia ferdinandiana (kakadu plum) fruit extract, tocopherol, pullulan, lysolecithin, tetrasodium glutamate diacetate, sclerotium gum, xanthan gum, hydrated silica, titanium dioxide, polyglyceryl-6 behenate, phenoxyethanol, ethylhexylglycerin, citric acid, iron oxides",1,"Sun Bum"
19,https://www.sunbum.com//products/original-spf-50-sunscreen-face-lotion-3oz,"SPF 50 Sunscreen Face Lotion, Original Sunscreen | Sun Bum",99,"Active Ingredients: Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 10%Inactive Ingredients: water, butyloctyl salicylate, hydrated silica, VP/hexadecene copolymer, styrene/acrylates copolymer, dimethicone, polyester-8, tocopherol acetate, BHT, glyceryl stearate, PEG-100 stearate, ethylhexyl stearate, behenyl alcohol, caprylyl methicone, trimethylsiloxysilicate, dimethyl capramide, sodium polyacrylate, xanthan gum, trideceth-6, disodium EDTA, ethylhexylglycerin, polyaminopropyl biguanide, methylisothiazolinone",1,"Sun Bum"
20,https://www.sunbum.com//products/original-face-70-spf-70-sunscreen-lotion,"SPF 70 Sunscreen Lotion, Original | Face Sunscreen - Sun Bum",98,"Active Ingredients: Avobenzone 3%, Homosalate 15%, Octisalate 5%, Octocrylene 10%Inactive Ingredients: water, styrene/acrylates copolymer, hydrated silica, glycerin, polyglyceryl-6 stearate, polyglyceryl-6 behenate, acrylates/C12-22 alkyl methacrylate copolymer, polyester-8, ethylhexylglycerin, lysolecithin, phenoxyethanol, pullulan, sclerotium gum, tetrasodium glutamate diacetate, tocopheryl acetate, xanthan gum",1,"Sun Bum"
31,https://www.sunbum.com//products/mineral-spf-50-sunscreen-spray,"Mineral Sunscreen Spray SPF 50 | Sun Bum",100,"Active Ingredients: Titanium Dioxide 3.4%, Zinc Oxide 16%Inactive Ingredients: water, butyloctyl salicylate, helianthus annuus (sunflower) seed oil, dicaprylyl carbonate, propanediol, isocetyl stearoyl stearate, methyl dihydroabietate, cetearyl alcohol, polyester-8, sodium stearoyl glutamate, coco-glucoside, aloe barbadensis leaf juice, musa sapientum (banana) fruit extract, tocopherol, glycerin, cellulose gum, bentonite, microcrystalline cellulose, caprylyl glycol, silicia, polyhydroxystearic acid, citric acid, alumina, bisabolol, sodium gluconate, caprylhydroamic acid",2,"Sun Bum"
32,https://www.sunbum.com//products/mineral-spf-30-sunscreen-lotion,"Mineral SPF 30 Sunscreen Lotion– Sun Bum",91,"Active Ingredient: Zinc Oxide 14.7%Inactive Ingredients: water, cocos nucifera (coconut) oil, butyloctyl salicylate, diheptyl succinate, capryloyl glycerin/sebacic acid copolymer, methyl dihydroabietate, butyrospermum parkii (shea butter), cetearyl alcohol, sodium stearoyl glutamate, theobroma cacao (cocoa) seed butter, tocopherol, coco-glucoside, microcrystalline cellulose, cetyl alcohol, behenyl alcohol, bisabolol, arachidyl glucoside, phenoxyethanol, arachidyl alcohol, cellulose gum, sodium hyaluronate, sodium gluconate, citric acid, ethylhexylglycerin, polyhydroxystearic acid",2,"Sun Bum"
34,https://www.sunbum.com//products/mineral-spf-30-sunscreen-face-lotion,"Mineral SPF 30 Sunscreen Face Lotion– Sun Bum",90,"Active Ingredients: Titanium Dioxide 5.3%, Zinc Oxide 2.4%Inactive Ingredients: cyclopentasiloxane, isopropyl myristate, polyamide-5, dimethicone crosspolymer, stearalkonium hectorite, polysilicone-11, oryza sativa (rice) bran extract, rosmarinus officinalis (rosemary) leaf extract, helianthus annuus (sunflower) extract, tocopherol, propylene carbonate, hydrogen dimethicone, aluminum hydroxide, silica silylate",2,"Sun Bum"
59,https://www.coppertone.com/products/coppertone-pure-and-simple-kids-sunscreen-continuous-spray-spf50-0004701.html,"Coppertone PURE & SIMPLE KIDS SPF 50 SPRAY",21,"zinc oxide, isobutane, water, C12-15 alkyl benzoate, isopropyl palmitate, butyloctyl salicylate, ethylhexyl isononanoate, cetyl PEG/PPG-10/1 dimethicone, propylene glycol, cyclopentasiloxane, bis-octyldodecyl dimer dilinoleate/propanediol copolymer, dimethicone, ethylhexyl methoxycrylene, polyester-27, tea (camellia sinensis) leaf extract*, giant kelp (macrocystis pyrifera) extract*, sacred lotus (nelumbo nucifera) extract*, triethoxycaprylylsilane, beeswax, hydroxyacetophenone, PEG-12 dimethicone crosspolymer, tocopherol, 1,2-hexanediol, caprylyl glycol, caprylyl methicone, sodium chloride, cetyl dimethicone",2,Coppertone
60,https://healthyplanetshopping.com/products/all-good-sunsticks-unscented-spf-30-elemental-herbs-6-oz-stick,"Elemental Herbs Zinc Sunstick SPF 30 Coconut",56,"Zinc Oxide 20% Non-nanoparticle, Simmondsia chinensis Jojoba Seed Oil*, Cera alba Beeswax *, Sesame indicum Sesame Seed Oil*, Copernicia cerifera Carnauba Wax*, Persea americana Avocado Oil*, Theobroma cacao Cocoa Seed Butter*, Cocos nucifera Coconut Oil*, Tapioca Starch*, Butyrospermum parkii Shea Butter *, Mauritia flexuosa Buriti Fruit Oil*, Non GMO Tocopherol Vitamin E",3,"Elemental Herbs"
61,https://healthyplanetshopping.com/products/all-good-sunsticks-unscented-spf-30-elemental-herbs-6-oz-stick,"Elemental Herbs Zinc Sunstick SPF 30 Unscented",108,"Zinc Oxide 20% Non-nanoparticle, Simmondsia chinensis Jojoba Seed Oil*, Cera alba Beeswax *, Sesame indicum Sesame Seed Oil*, Copernicia cerifera Carnauba Wax*, Persea americana Avocado Oil*, Theobroma cacao Cocoa Seed Butter*, Cocos nucifera Coconut Oil*, Tapioca Starch*, Butyrospermum parkii Shea Butter *, Mauritia flexuosa Buriti Fruit Oil*, Non GMO Tocopherol Vitamin E",3,"Elemental Herbs"
62,https://www.eucerinus.com/products/sun-protection/sensitive-mineral-lotion-sunscreen,"Eucerin Sensitive Mineral Sunscreen Lotion SPF 50",22,"Active Ingredient: Zinc Oxide 24% Inactive Ingredients: Water, C12-15 Alkyl Benzoate, Isopropyl Palmitate, Butyloctyl Salicylate, Ethylhexyl Pelargonate, Cetyl PEG/PPG-10/1 Dimethicone, Propylene Glycol, Cyclopentasiloxane, Bis-Octyldodecyl Dimer Dilinoleate/Propanediol Copolymer, Dimethicone, Ethylhexyl Methoxycrylene, Polyester-27, Triethoxycaprylylsilane, Beeswax, Hydroxyacetophenone, Sodium Chloride, PEG-12 Dimethicone Crosspolymer, 1,2-Hexanediol, Caprylyl Glycol, Tocopherol",2,Eucerin
63,https://mauivera.com,"Maui Vera Reef-Friendly Mineral Sunscreen",84,"Active Ingredients: Zinc Oxide 20%, Inactive Ingredients: *Aloe Barbadensis Leaf (Aloe) Juice, *Caprylic/Capric Triglyceride (Coconut Oil), Cetearyl Olivate, Sorbitane Olivate, Cetearyl Alcohol, Cetyl Alcohol, *Persea Americana (Avocado) Oil, Panthenol (Vitamin B-5), Lauroyl Lysine, Vitamin E Acetate, Polyhydroxy Stearic Acid, Benzyl Alcohol, Dehydroacetic Acid, Xanthan Gum, Sodium Phytate",2,"Maui Vera"
64,https://www.aoorganicshawaii.com/collections/sunscreen/products/liquid-reef-safe-sunscreen,"Ao Organics Liquid Reef-Safe Sunscreen",43,"(Non-Nano) Zinc Oxide, *Sunflower Oil, *Avocado Oil, *Jojoba Oil, *Vitamin E Oil, *Hawaiian Beeswax, *Shea Butter, *Red Raspberry Seed Oil, *Cacao Powder (for tint)
https://www.aoorganicshawaii.com/collections/sunscreen/products/sunscreen-stick, Sunscreen Stick Tinted 2.5 oz,  (Non-Nano) Zinc Oxide, *Sunflower Oil, *Avocado Oil, *Jojoba Oil, *Vitamin E Oil, *Hawaiian Beeswax, *Shea Butter, *Red Raspberry Seed Oil, *Cacao Powder (For Tint)",3,"Ao Organics"
65,https://www.aoorganicshawaii.com/collections/sunscreen/products/sunscreen-stick,"Ao organics Sunscreen Stick NON-Tinted 2.5 oz",42," (Non-Nano) Zinc Oxide, *Sunflower Oil, *Avocado Oil, *Jojoba Oil, *Vitamin E Oil, *Hawaiian Beeswax, *Shea Butter, *Red Raspberry Seed Oil, *Cacao Powder (For Tint) ",3,"Ao Organics"
66,https://www.aoorganicshawaii.com/collections/sunscreen/products/4-oz-sunscreen-tin,"Ao Organics Sunscreen Tin",41," (Non-Nano) Zinc Oxide, *Coconut Oil, *Shea Butter, *Beeswax, *Avocado Oil, *Red Raspberry Seed Oil, *Vitamin E Oil, *Cacao Powder (For Tint) ",3,"Ao Organics"
67,https://www.solremedies.com/products/reef-safe-sunscreen,"Sol Remedies Reef Safe Sunscreen",88,"red raspberry seed oil, coconut oil, almond oil, aloe vera, beeswax, vitamin E, pomegranate extract, lavender and non-nano zinc",3,"Sol Remedies"
68,https://www.aveeno.com/products/positively-mineral-sensitive-skin-sunscreen-spf-50,"Aveeno Positively Mineral
Sensitive Skin Sunscreen Broad Spectrum SPF 50",44,"Zinc Oxide: 21.6%, Water, C12-15 Alkyl Benzoate, Styrene/Acrylates Copolymer, Octyldodecyl Citrate Crosspolymer, Phenyl Trimethicone, Cetyl PEG/PPG-10/1 Dimethicone, Dimethicone, Polyhydroxystearic Acid, Glycerin, Ethyl Methicone, Silica, Cetyl Dimethicone, Triethoxycaprylylsilane, Phenoxyethanol, Glyceryl Behenate, Sodium Chloride, Acrylates/Dimethicone Copolymer, Chlorphenesin, Phenethyl Alcohol, Avena Sativa (Oat) Kernel Flour, Caprylyl Glycol, Cetyl Dimethicone/Bis-Vinyldimethicone Crosspolymer, Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice",2,Aveeno
69,https://www.aveeno.com/products/positively-mineral-sunscreen-stick-spf-50,"Aveeno Sunscreen Stick SPF 50",45,"Zinc Oxide (21.6%),Octyldodecyl Neopentanoate, C12-15 Alkyl Benzoate, Polyethylene, Paraffin, Silica, Neopentyl Glycol Diethylhexanoate, Ozokerite, Isopropyl Myristate, Adipic Acid/Diglycol Crosspolymer, Triethoxycaprylylsilane, Neopentyl Glycol Diisostearate, Caprylyl Glycol, Avena Sativa (Oat) Kernel Oil, Tocopheryl Acetate",2,Aveeno
70,https://www.aveeno.com/products/positively-mineral-sensitive-skin-face-sunscreen-spf-50,"Aveeno Positively Mineral Sensitive Skin Sunscreen Broad Spectrum SPF 50 for Face",46,"Zinc Oxide 21.6%, Water, C12-15 Alkyl Benzoate, Styrene/Acrylates Copolymer, Octyldodecyl Citrate Crosspolymer, Phenyl Trimethicone, Cetyl PEG/PPG-10/1 Dimethicone, Dimethicone, Glycerin, Polyhydroxystearic Acid, Ethyl Methicone, Silica, Cetyl Dimethicone, Triethoxycaprylylsilane, Phenoxyethanol, Glyceryl Behenate, Sodium Chloride, Acrylates/Dimethicone Copolymer, Chlorphenesin, Phenethyl Alcohol, Avena Sativa (Oat) Kernel Flour, Caprylyl Glycol, Cetyl Dimethicone/Bis-Vinyldimethicone Crosspolymer, Tocopheryl Acetate, Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice",2,Aveeno
72,https://thinksun.com/products/thinksport-spf-50-clear-zinc-sunscreen?_pos=1&_sid=a869bbcba&_ss=r,"Thinksport Clear Zinc SPF 50 Sunscreen",107,"Active Ingredient: Zinc Oxide 20% (Non-nano)Inactive Ingredients: PURIFIED WATER, CAPRYLIC/CAPRIC TRIGLYCERIDE, POLYGLYCERYL-4 ISOSTEARATE, GLYCERIN, HYDROGENATED GLYCERYL ABIETATE, HEXYL LAURATE, CETYL DIMETHICONE, ALOE BARBADENSIS LEAF JUICE, HYDROGENATED CASTOR OIL, MAGNESIUM SULFATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, TOCOPHEROL, OLEA EUROPAEA (OLIVE) FRUIT OIL, RUBUS IDAEUS (RASPBERRY) SEED OIL, VACCINIUM MACROCARPON (CRANBERRY) SEED OIL, SODIUM HYALURONATE, CARICA PAPAYA (PAPAYA) FRUIT EXTRACT, RIBES NIGRUM (BLACK CURRANT) EXTRACT, CITRUS PARIDISI (PINK GRAPEFRUIT) PEEL OIL, SORBITAN SESQUIOLEATE, CAPRYLHYDROXAMIC ACID, TRIETHOXYCAPRYLYLSILANE, GLYCERYL CAPRYLATE.",3,Thinksport
73,https://thinksun.com/products/thinkbaby-safe-sunscreen-spf-50-6oz-family-size-95?variant=20159406309489&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&nbt=nb%3Aadwords%3Ax%3A18962272254%3A%3A&nb_adtype=pla_with_promotion&nb_kwd=&nb_ti=&nb_mi=143732884&nb_pc=online&nb_pi=shopify_US_2057063694449_20159406309489&nb_ppi=&nb_placement=&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=&utm_source=google&utm_medium=cpc&utm_campaign=18962272254&gclid=Cj0KCQiA3eGfBhCeARIsACpJNU8-AR50_na3JkdrlIlQscCIyz8plkqnuQS7SzFBSJz-1xkwuDOb64UaAl7_EALw_wcB,"Thinkbaby Safe Sunscreen SPF 50",106,"Active Ingredient: Zinc Oxide 20% (Non-nano) INACTIVE INGREDIENTS: WATER, CAPRYLIC/CAPRIC TRIGLYCERIDE, POLYGLYCERYL-4 ISOSTEARATE, CETYL DIMETHICONE, HEXYL LAURATE, GLYCERIN, HYDROGENATED METHYL ABIETATE, MAGNESIUM SULFATE, CAPRYLHYDROXAMIC ACID, GLYCERYL CAPRYLATE, HYDROGENATED CASTOR OIL, SORBITAN SESQUIOLEATE, CARICA PAPAYA (PAPAYA) FRUIT EXTRACT, HELIANTHUS ANNUUS (SUNFLOWER) OIL, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, TOCOPHEROL, OLEA EUROPAEA (OLIVE) FRUIT OIL, HYALURONIC ACID",3,Thinkbaby
75,https://www.walmart.com/ip/Olay-Complete-Cream-Moisturizer-with-SPF-15-Normal-2-0-oz/888151?wmlspartner=wlpa&selectedSellerId=0&wl13=5051&adid=22222222227000000000&wl0=&wl1=g&wl2=c&wl3=42423897272&wl4=pla-51320962143&wl5=9028893&wl6=&wl7=&wl8=&wl9=pla&wl10=8175035&wl11=local&wl12=888151&veh=sem&gclid=Cj0KCQiA3eGfBhCeARIsACpJNU-3nMlae9o-mpTvia5l4t9w4k1M2GtPr401t_OPstrgFiSd_wW6MmoaAjKqEALw_wcB,"Olay Moisturizer, All Day, With Sunscreen, Normal (Olay Complete Cream Moisturizer with SPF 15 Normal, 2.0 oz)",85,"Active ingredients: Avobenzone 3.0%, Homosalate 4.0%, Octisalate 4.5%, Octocrylene 2.6%",1,Olay
76,https://www.neutrogena.com/products/sun/sheer-zinc-kids-mineral-sunscreen-broad-spectrum-spf-50/6811294.html?tilePosition=2,"Neutrogena Neutrogena Sheer Zinc Kids Mineral Sunscreen Broad Spectrum SPF 50+",17,"Active ingredients Zinc Oxide (21.6%) Inactive ingredients Water, C12-15 Alkyl Benzoate, Styrene/Acrylates Copolymer, Octyldodecyl Citrate Crosspolymer, Phenyl Trimethicone, Cetyl PEG/PPG-10/1 Dimethicone, Dimethicone, Glycerin, Polyhydroxystearic Acid, Ethyl Methicone, Silica, Cetyl Dimethicone, Triethoxycaprylylsilane, Phenoxyethanol, Glyceryl Behenate, Sodium Chloride, Acrylates/Dimethicone Copolymer, Chlorphenesin, Phenethyl Alcohol, Caprylyl Glycol, Cetyl Dimethicone/Bis-Vinyldimethicone Crosspolymer, Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice",2,Neutrogena
77,https://www.neutrogena.com/products/sun/pure-and-free-baby-sunscreen-lotion-broad-spectrum-spf-50/6811082.html,"Neutrogena Pure & Free Baby Sunscreen Lotion Broad Spectrum SPF 50",4,"Zinc Oxide 21.6%  Water, C12-15 Alkyl Benzoate, Styrene/Acrylates Copolymer, Octyldodecyl Citrate Crosspolymer, Phenyl Trimethicone, Cetyl Peg/Ppg-10/1 Dimethicone, Dimethicone, Polyhydroxystearic Acid, Glycerin, Ethyl Methicone, Cetyl Dimethicone, Silica, Chrysanthemum Parthenium (Feverfew) Flower/Leaf/Stem Juice, Glyceryl Behenate, Phenethyl Alcohol, Caprylyl Glycol, Cetyl Dimethicone/Bis-Vinyldimethicone Crosspolymer, Acrylates/Dimethicone Copolymer, Sodium Chloride, Phenoxyethanol,",2,Neutrogena
